description,carb,fat,energy,protein,country,amount_type,queries
"['Sports drink (Gatorade G)', 'Cheese, Parmesan, dry grated', 'Pasta with cream sauce and meat, restaurant']","[23.92, 0.77, 38.25]","[0.0, 1.74, 35.35]","[96.72, 26.1, 530.0]","[0.0, 1.84, 14.4]",USA,natural,"I paired a bottle of Gatorade with a cup of creamy pasta and meat for dinner, adding a tablespoon of grated Parmesan cheese for extra flavor."
"['Cheese flavored corn snacks (Cheetos)', 'Soft drink, pepper type', 'Potato, french fries, fast food', 'Cheeseburger (Burger King)']","[30.51, 53.04, 60.09, 26.26]","[20.53, 1.28, 21.36, 13.0]","[319.2, 215.04, 452.4, 287.1]","[3.33, 0.0, 4.97, 15.33]",USA,natural,"For lunch, I had a medium single serving bag of Cheetos, a medium pepper soft drink, a medium order of french fries, and a cheeseburger from Burger King."
"['Applesauce, baby food, strained', 'Water, baby, bottled, unsweetened']","[12.2, 0.0]","[0.23, 0.0]","[46.33, 0.0]","[0.23, 0.0]",USA,natural,"For dinner, I'm having a jar of strained baby food applesauce and an ounce of unsweetened bottled baby water."
"['Rice, white, cooked, no added fat', 'Frankfurter or hot dog, cheese-filled']","[44.22, 2.86]","[0.44, 15.1]","[203.82, 173.85]","[4.22, 6.65]",USA,natural,"For dinner, I have a cup of cooked white rice and a cheese-filled hot dog."
"['Water, bottled, unsweetened', 'Carbonated water, unsweetened']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",USA,natural,"For my snack, I'm drinking a 16.9 fl oz bottle of unsweetened water along with a 12 fl oz can of unsweetened carbonated water."
"['Soft taco with chicken, from fast food', 'Water, bottled, unsweetened']","[32.49, 0.0]","[10.48, 0.0]","[311.85, 0.0]","[21.94, 0.0]",USA,natural,I’ve got a large chicken soft taco from a fast food place and an 11 fl oz bottle of water for lunch.
"['Milk, reduced fat (2%)', 'Burrito, taco, or quesadilla with egg']","[11.98, 37.92]","[4.64, 24.79]","[122.0, 463.32]","[8.17, 20.83]",USA,natural,I'm starting my day with a medium burrito made with egg and a cup of 2% milk.
"['Beef steak, fried, lean and fat eaten', 'Flavored rice and pasta mixture', 'Soft drink, cola']","[0.0, 37.46, 64.23]","[18.01, 6.84, 1.55]","[314.9, 231.28, 260.4]","[36.26, 5.25, 0.0]",USA,natural,"For dinner, I have a cup of diced beef steak, a cup of flavored rice and pasta, and I'm washing it down with a 20 fl oz bottle of cola."
"['Potato, hash brown, ready-to-heat']",[15.53],[6.31],[119.35],[1.44],USA,natural,I'm enjoying one patty of hash brown for my snack.
"['Water, bottled, unsweetened', 'Soft drink, fruit flavored, caffeine containing, diet']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.36]",USA,natural,I grabbed a 16.9 fl oz bottle of unsweetened water and a 12 fl oz can of diet fruit-flavored soda for my snack.
"['Coffee, instant, reconstituted', 'Roll, sweet, cinnamon bun, frosted']","[1.51, 26.24]","[0.0, 14.37]","[7.2, 244.08]","[0.24, 2.4]",USA,natural,I made myself a cup of instant coffee and paired it with a small sweet cinnamon roll for breakfast.
"['Apple-sweet potato juice, baby food']",[14.14],[0.12],[58.28],[0.37],USA,natural,My snack is a 4 fl oz Gerber bottle filled with apple-sweet potato baby food.
"['Fudge, chocolate, with nuts']",[14.99],[4.16],[101.2],[0.96],USA,natural,"For my snack, I'm enjoying one piece of chocolate fudge loaded with nuts."
"['Frankfurter or hot dog sandwich, beef, plain, on whole wheat bun', 'Cookie, chocolate chip', 'Soft drink, cola']","[21.95, 19.61, 38.54]","[18.77, 7.42, 0.93]","[309.06, 147.6, 156.24]","[12.59, 1.53, 0.0]",USA,natural,"For lunch, I had a frankfurter on a whole wheat bun, a medium chocolate chip cookie, and a can of cola."
"['Chicken breast, baked or broiled, skin not eaten, from pre-cooked']",[0.0],[4.28],[172.8],[33.65],USA,natural,"I'm eating a medium chicken breast for lunch. It's baked and pre-cooked, and I didn't eat the skin."
"['Water, bottled, unsweetened', 'Chicken thigh, grilled with sauce, skin not eaten']","[0.0, 7.28]","[0.0, 8.56]","[0.0, 190.0]","[0.0, 19.8]",USA,natural,I'm having a medium grilled chicken thigh and a cup of water for dinner.
"['Water, tap', 'Sports drink (Gatorade G)', 'Water, bottled, unsweetened']","[0.0, 39.87, 0.0]","[0.0, 0.0, 0.0]","[0.0, 161.2, 0.0]","[0.0, 0.0, 0.0]",USA,natural,"For a snack, I'm having a bottle of tap water filled with 16.9 fl oz, a 20 fl oz bottle of Gatorade, and another 16.9 fl oz bottle of unsweetened bottled water."
"['Soft drink, cola', 'Turnover, meat- and cheese-filled, tomato-based sauce']","[64.23, 46.63]","[1.55, 15.55]","[260.4, 383.04]","[0.0, 14.17]",USA,natural,I just opened a 20 fl oz bottle of cola and I'm eating a meat and cheese-filled turnover with tomato-based sauce.
"['Water, tap', 'Chocolate, sweet or dark']","[0.0, 4.81]","[0.0, 2.66]","[0.0, 42.24]","[0.0, 0.36]",USA,natural,"For a snack, I'm having a cup of tap water and a miniature piece of chocolate."
"['Egg, whole, fried with oil', 'Grits, instant, made with water, fat added']","[0.37, 21.25]","[8.46, 4.19]","[105.05, 124.32]","[6.44, 2.01]",USA,natural,"For breakfast, I'm having one fried egg cooked in oil and a serving of instant grits made with water and some added fat."
"['Coffee, pre-sweetened with sugar']",[9.82],[0.05],[39.68],[0.25],USA,natural,I’m sipping on an 8 fl oz cup of pre-sweetened coffee for a quick snack.
"['Tea, hot, leaf, green', 'Cheese, Swiss']","[0.0, 0.3]","[0.0, 6.51]","[2.4, 82.53]","[0.53, 5.67]",USA,natural,I had a slice of Swiss cheese and a cup of hot green tea for dinner.
"['Soft drink, cola', 'Soup, mostly noodles']","[38.54, 33.93]","[0.93, 9.92]","[156.24, 247.9]","[0.0, 5.74]",USA,natural,"For breakfast, I'm having a can of cola and a cup of prepared noodle soup."
"['Waffle, plain, reduced fat, from frozen', 'Pancake syrup']","[18.48, 13.92]","[2.77, 0.02]","[115.6, 53.0]","[3.77, 0.0]",USA,natural,I enjoyed one reduced-fat frozen waffle topped with a tablespoon of pancake syrup for breakfast.
"['Fruit smoothie, with whole fruit and dairy, added protein', 'Pretzels, hard, peanut butter filled']","[52.43, 1.82]","[6.53, 0.57]","[415.8, 13.59]","[39.85, 0.42]",USA,natural,Having a small fruit smoothie along with a miniature hard pretzel filled with peanut butter for my lunch.
"['Burrito with beans, meatless', 'Milk, fat free (skim)']","[32.47, 11.93]","[15.01, 0.2]","[326.4, 82.96]","[15.67, 8.37]",USA,natural,Dinner tonight is a small meatless burrito and a glass of fat-free milk.
"['Egg roll, meatless', 'Water, bottled, unsweetened']","[19.21, 0.0]","[9.05, 0.0]","[172.16, 0.0]","[3.6, 0.0]",USA,natural,I'm enjoying a meatless egg roll along with a cup of bottled water for lunch.
"['Roll, white, hot dog bun', 'Ketchup']","[22.55, 4.66]","[1.76, 0.02]","[125.55, 17.17]","[4.4, 0.18]",USA,natural,I'm enjoying a hot dog bun with a tablespoon of ketchup for my dinner.
"['Cake, shortcake, sponge type, with whipped cream and fruit']",[55.83],[5.01],[285.56],[4.97],USA,natural,"For dinner, I'm having a 3-inch sponge shortcake topped with whipped cream and fruit."
"['Chicken wing, sauteed', 'Potato, mashed, from fresh, made with milk', 'Ketchup', 'Chicken drumstick, sauteed, skin eaten']","[0.0, 44.0, 4.66, 0.0]","[6.44, 10.15, 0.02, 7.11]","[92.75, 282.5, 17.17, 121.8]","[8.1, 5.38, 0.18, 13.62]",USA,natural,"For lunch, I’m having a sautéed chicken wing, a cup of fresh mashed potatoes made with milk, a tablespoon of ketchup, and a medium sautéed chicken drumstick with the skin eaten."
"['Pizza with pepperoni, stuffed crust', 'Chocolate milk, ready to drink, low fat', 'Orange juice, 100%, canned, bottled or in a carton']","[44.59, 25.17, 14.31]","[24.62, 2.75, 0.15]","[485.44, 158.72, 60.76]","[21.19, 8.58, 0.84]",USA,natural,"For breakfast, I have a slice of pepperoni pizza with stuffed crust, a cup of chocolate milk, and an individual school carton of orange juice."
"['Soft drink, cola, decaffeinated', 'Potato, french fries, fast food', 'Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant', 'Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant']","[39.36, 45.58, 3.02, 1.78]","[0.0, 16.2, 5.59, 3.22]","[152.52, 343.2, 106.0, 63.3]","[0.0, 3.77, 10.89, 6.82]",USA,natural,"For dinner, I had a can of decaffeinated cola, a small order of fast food french fries, a fried chicken drumstick without the skin, and a small slice of fried chicken breast from the restaurant."
"['Bread, wheat or cracked wheat', 'Egg omelet or scrambled egg, made with margarine', 'Oatmeal, multigrain, no added fat']","[13.31, 0.4, 29.26]","[1.27, 7.21, 1.1]","[76.72, 94.05, 134.4]","[2.99, 6.45, 5.09]",USA,natural,"I ate a medium slice of bread made from wheat, one egg omelet with margarine, and a cup of multigrain oatmeal for breakfast."
"['Water, bottled, unsweetened', 'Chicken breast, sauteed, skin not eaten', 'Soft drink, fruit flavored, caffeine free']","[0.0, 0.0, 37.72]","[0.0, 6.54, 0.07]","[0.0, 211.2, 148.8]","[0.0, 35.54, 0.19]",USA,natural,"I’m enjoying a medium sautéed chicken breast for dinner, paired with a bottle of water and a can of caffeine-free soft drink."
"['Banana, raw', 'Nectarine, raw']","[28.78, 12.85]","[0.42, 0.39]","[112.14, 54.6]","[1.37, 1.48]",USA,natural,I'm enjoying one banana and one nectarine as a snack.
"['Apple, raw', 'Potato chips, lightly salted']","[27.62, 14.96]","[0.34, 9.89]","[104.0, 156.52]","[0.52, 1.88]",USA,natural,I'm snacking on a medium raw apple and a small single serving bag of lightly salted chips.
"['Water, tap', 'Milk, reduced fat (2%)', 'Water, bottled, unsweetened']","[0.0, 11.98, 0.0]","[0.0, 4.64, 0.0]","[0.0, 122.0, 0.0]","[0.0, 8.17, 0.0]",USA,natural,"I'm enjoying a cup of tap water, a cup of 2% milk, and a bottle of unsweetened bottled water as a snack."
"['Ice cream, vanilla', 'Water, bottled, unsweetened', 'Potato chips, lightly salted']","[56.64, 0.0, 14.96]","[26.4, 0.0, 9.89]","[496.8, 0.0, 156.52]","[8.4, 0.0, 1.88]",USA,natural,"For a snack, I'm having a medium cup of vanilla ice cream, a bottle of water, and a small bag of lightly salted potato chips."
"['Pizza with meat and fruit, thin crust']",[29.08],[13.24],[290.95],[13.78],USA,natural,"For dinner, I'm having a piece of thin crust pizza topped with meat and fruit."
"[""Cereal (Kellogg's Frosted Flakes)""]",[36.57],[0.69],[151.29],[1.62],USA,natural,"For a snack, I'm having a cup of Kellogg's Frosted Flakes cereal."
"['Turnover, chicken- or turkey-, and vegetable-filled, lower in fat']",[27.83],[7.05],[215.04],[10.07],USA,natural,"For breakfast, I'm eating one turnover that’s filled with lower-fat chicken or turkey and vegetables."
"['Water, bottled, unsweetened', 'Nutrition bar (Clif Bar)']","[0.0, 44.5]","[0.0, 4.0]","[0.0, 235.28]","[0.0, 10.0]",USA,natural,I'm having a snack that includes a bottle of water and a nutrition bar from Clif.
"['Water, bottled, unsweetened', 'Pizza, cheese, from restaurant or fast food, medium crust']","[0.0, 26.66]","[0.0, 7.75]","[0.0, 212.8]","[0.0, 9.11]",USA,natural,I'm enjoying a small piece of pizza with a bottle of unsweetened water for dinner.
"['Egg, cheese, and bacon griddle cake sandwich', 'Chocolate milk, NFS']","[44.0, 33.38]","[22.16, 0.0]","[456.96, 166.16]","[20.21, 8.41]",USA,natural,"For breakfast, I’m eating a sandwich that has egg, cheese, and bacon on a griddle cake, alongside a cup of chocolate milk."
"['Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy']",[28.68],[16.36],[313.74],[13.77],USA,natural,"For lunch, I'm having a cup of chicken or turkey dumplings with vegetables like carrots and broccoli, topped with gravy."
"['Tilapia, baked or broiled, made with cooking spray']",[0.45],[5.72],[282.5],[56.95],USA,natural,"For my dinner, I've got a small whole tilapia that was broiled using cooking spray."
"['Peach, canned, juice pack']",[11.64],[0.11],[46.33],[0.51],USA,natural,"For my snack, I have a small cup of canned peaches in juice."
"['Water, bottled, unsweetened', 'Tortilla, corn', 'Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce']","[0.0, 12.5, 24.25]","[0.0, 0.8, 8.26]","[0.0, 61.04, 210.6]","[0.0, 1.6, 11.29]",USA,natural,"For my dinner, I'm drinking a cup of unsweetened bottled water, having a medium corn tortilla, and a cup of beef mixed with potatoes and other vegetables."
"['Coffee, brewed', 'Water, tap']","[0.0, 0.0]","[0.07, 0.0]","[3.6, 0.0]","[0.43, 0.0]",USA,natural,I’ve got a small brewed coffee and a 16.9 fl oz bottle of tap water for breakfast.
"['Water, tap', 'Crackers, cheese (Cheez-It)']","[0.0, 29.71]","[0.0, 11.37]","[0.0, 244.5]","[0.0, 5.46]",USA,natural,I'm snacking on a cup of Cheez-It cheese crackers and drinking a cup of tap water.
"['Muffin, fruit', 'Water, tap']","[37.1, 0.0]","[11.25, 0.0]","[262.5, 0.0]","[3.14, 0.0]",USA,natural,I had a snack that included a small fruit muffin and an ounce of tap water.
"['Jelly sandwich, regular jelly, on wheat bread', 'Fruit juice drink, with high vitamin C', 'Cheese flavored corn snacks (Cheetos)']","[55.23, 21.11, 14.99]","[2.39, 0.2, 10.08]","[265.0, 85.56, 156.8]","[6.9, 0.24, 1.64]",USA,natural,"For lunch, I'm having a jelly sandwich with regular jelly on wheat bread, a Kool-Aid Jammers pouch for my drink, and a small bag of Cheetos."
"['Pizza with extra meat and extra vegetables, thick crust', 'Water, bottled, unsweetened']","[45.64, 0.0]","[17.25, 0.0]","[413.47, 0.0]","[19.0, 0.0]",USA,natural,"For lunch, I'm having a piece of thick crust pizza loaded with extra meat and vegetables, along with a cup of bottled unsweetened water."
"['Cheese flavored corn snacks (Cheetos)', 'Watermelon, raw']","[30.51, 16.46]","[20.53, 0.33]","[319.2, 65.4]","[3.33, 1.33]",USA,natural,"For a snack, I'm having a medium bag of cheese-flavored corn snacks, Cheetos, along with a small slice of watermelon."
"['Potato chips, baked, plain', 'Ice cream bar, vanilla', 'Water, bottled, unsweetened', 'Apple, raw']","[19.99, 27.84, 0.0, 22.79]","[5.1, 18.95, 0.0, 0.28]","[131.32, 268.5, 0.0, 85.8]","[1.4, 1.58, 0.0, 0.43]",USA,natural,"For a snack, I'm having a small bag of plain baked potato chips, a vanilla ice cream bar, a cup of unsweetened bottled water, and a small raw apple."
"[""Cereal (Kellogg's Frosted Flakes)"", 'Milk, whole', 'Cheese, American']","[36.57, 11.39, 1.86]","[0.69, 7.81, 4.84]","[151.29, 146.4, 64.47]","[1.62, 8.0, 3.38]",USA,natural,"For breakfast, I’ve got a bowl of Kellogg's Frosted Flakes, a cup of whole milk, and a slice of American cheese."
"['Apricots, baby food, strained']",[16.14],[0.0],[59.4],[0.3],USA,natural,"For my breakfast, I’m eating a Gerber 2nd Foods serving of strained apricots."
"['Pizza, cheese, from school lunch, medium crust', 'Orange juice, 100%, canned, bottled or in a carton', 'Chewing gum, regular']","[50.49, 14.31, 3.87]","[14.6, 0.15, 0.01]","[425.0, 60.76, 14.4]","[23.24, 0.84, 0.0]",USA,natural,"For lunch, I have a personal size medium crust cheese pizza from school lunch, a small individual carton of 100% orange juice, and a piece of chewing gum."
"['Soft drink, fruit flavored, caffeine free', 'Fruit juice drink, with high vitamin C']","[75.44, 42.22]","[0.15, 0.41]","[297.6, 171.12]","[0.37, 0.48]",USA,natural,"For a snack, I'm having a large fruit-flavored soft drink and a small fruit juice drink that has a lot of vitamin C."
"['Coffee, bottled/canned', 'Cheese, Mozzarella, part skim', 'Burrito with meat']","[42.97, 1.26, 39.02]","[4.71, 5.78, 39.1]","[242.11, 84.48, 653.4]","[6.75, 6.72, 35.15]",USA,natural,"I’m starting my day with a medium burrito with meat, a stick of part-skim mozzarella cheese, and a can of coffee."
"['Apple, raw', 'Pizza, cheese, from school lunch, thin crust', 'Milk, reduced fat (2%)']","[33.42, 44.46, 11.98]","[0.41, 11.23, 4.64]","[125.84, 350.74, 122.0]","[0.63, 18.06, 8.17]",USA,natural,"For breakfast, I had a large raw apple, a piece of thin crust cheese pizza from school lunch, and a cup of reduced fat milk."
"['Apple juice, 100%', 'Water, bottled, unsweetened']","[14.01, 0.0]","[0.16, 0.0]","[57.04, 0.0]","[0.12, 0.0]",USA,natural,I decided to have some 100% apple juice in a single serving container along with a cup of unsweetened bottled water for my snack.
"['Biscuit, NFS', 'Milk, whole', 'Jam, preserve, marmalade, sweetened with fruit juice concentrates, all flavors']","[19.27, 11.39, 7.41]","[8.51, 7.81, 0.0]","[166.5, 146.4, 29.68]","[3.19, 8.0, 0.0]",USA,natural,"For breakfast, I had a biscuit with a cup of whole milk and an individual packet of fruit juice sweetened jam."
"['Yogurt, low fat milk, fruit', 'Crackers, wheat, plain (Wheat Thins)']","[9.25, 31.56]","[0.88, 6.87]","[56.96, 198.45]","[2.98, 4.02]",USA,natural,"For a snack, I'm having a tube of low-fat yogurt with fruit and a small bag of plain Wheat Thins."
"['Water, tap', 'Potato chips, plain']","[0.0, 15.07]","[0.0, 9.51]","[0.0, 148.96]","[0.0, 1.79]",USA,natural,"For lunch, I'm having a bottle of tap water and a small bag of plain potato chips."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Coffee, brewed']","[27.95, 0.0]","[0.3, 0.1]","[116.56, 4.8]","[1.69, 0.58]",USA,natural,"For breakfast, I'm having a bottle of 100% orange juice with calcium added and a medium cup of brewed coffee."
"['Soft drink, fruit flavored, caffeine free', 'Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bread', 'Egg, whole, boiled or poached']","[37.72, 15.6, 0.36]","[0.07, 11.64, 4.76]","[148.8, 210.8, 71.5]","[0.19, 10.33, 6.28]",USA,natural,"For dinner, I’ll eat a chicken frankfurter on wheat bread, a boiled egg, and wash it down with a 12 fl oz can of fruit soda."
['Pork sausage'],[0.5],[9.54],[113.75],[6.49],USA,natural,"For breakfast, I'm having a pork sausage patty."
"['Soft drink, fruit flavored, caffeine free', 'Garlic bread, from fast food / restaurant', 'Pizza with meat other than pepperoni, from restaurant or fast food, medium crust']","[75.44, 30.81, 42.26]","[0.15, 12.27, 17.04]","[297.6, 258.26, 386.4]","[0.37, 6.17, 15.87]",USA,natural,"For lunch, I have a large fruit-flavored caffeine-free soft drink, a medium slice of garlic bread, and a piece of medium-crust pizza with meat other than pepperoni."
"['Pasta, cooked', 'Potato salad with egg, made with light mayonnaise-type salad dressing']","[42.95, 41.58]","[1.29, 12.26]","[219.8, 305.25]","[8.06, 7.48]",USA,natural,I ate a cup of cooked pasta and a cup of potato salad with egg for lunch.
"['Water, bottled, unsweetened', 'Coffee, brewed, decaffeinated']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.36]",USA,natural,"During my snack time, I'm drinking a small decaf coffee along with a bottle of water."
"['Turnover or dumpling, apple', 'Apple juice, 100%']","[35.71, 14.01]","[14.83, 0.16]","[285.36, 57.04]","[2.98, 0.12]",USA,natural,"For breakfast, I'm having one apple turnover and a school container of 100% apple juice."
