description,carb,fat,energy,protein,country,amount_type,queries
"['LIVER SAUSAGE', 'PUREE PEACHES - DRY WEIGHT 21%-ENRICHED', 'WHITE BREAD OF WHEAT BULGARIA', 'Water, bottled, unsweetened']","[0.2, 6.1, 16]","[4, 0, 0.2]","[42, 25, 75]","[1.4, 0.2, 2.3]",BGR,metric,"For a snack, I'm having 20g of liver sausage, 30g of dry-weight pureed peaches, and 30g of white bread from Bulgaria, and 507 grams of bottled water."
"['Egg roll, with beef and/or pork', 'Water, bottled, unsweetened']",[17.84],[9.17],[177.28],[6.01],USA,metric,"I'm enjoying a 64g egg roll with beef and pork for my lunch, and 507 grams of bottled water."
"['Blintz, cheese-filled', 'Crepe, fruit filled', 'Beer', 'Water, bottled, unsweetened']","[14.06, 21.1, 12.78]","[5.36, 5.56, 0]","[130.2, 146.4, 154.8]","[6.34, 3.65, 1.66]",USA,metric,"For dinner tonight, I’ve got a cheese-filled blintz at 70 grams, a fruit crepe at 80 grams, and 360 grams of beer, and 507 grams of bottled water."
"['Soup, mostly noodles', 'Soft drink, pepper type, diet', 'Water, bottled, unsweetened']","[45.3, 1.04]","[13.24, 0.11]","[330.98, 7.2]","[7.66, 0.4]",USA,metric,"I’ve got 494 grams of noodle soup and 360 grams of diet pepper soda for lunch, and 507 grams of bottled water."
"['Kefir, NS as to fat content', 'Water, bottled, unsweetened']",[18.25],[2.34],[126.88],[8.76],USA,metric,"I have 244 grams of kefir for my snack, and 507 grams of bottled water."
"['Chicken Egg Fried', ""Mcdonald'S Big Mac Hamburger"", ""Mcdonald'S French Fries"", 'Pepsi Regular Cola Soda', 'Water, bottled, unsweetened']","[0.35, 47.0, 46.85, 40.43]","[11.1, 30.0, 20.36, 0.0]","[121, 560, 384, 148]","[5.03, 25.0, 3.85, 0.0]",MYS,metric,"Dinner consisted of 46 grams of Chicken Egg Fried, a 219g McDonald's Big Mac, 114 grams of fries, and 350 grams of Pepsi, and 507 grams of bottled water."
"['Cheese flavored corn snacks (Cheetos)', 'Burrito with beans, meatless', 'Water, bottled, unsweetened']","[18.74, 54.44]","[12.6, 25.17]","[196.0, 547.2]","[2.05, 26.28]",USA,natural,"I have a medium burrito filled with beans and a cup of Cheetos to go with it for lunch, and 507 grams of bottled water."
"['SNICKERS Bar', 'Banana, raw', 'Water, bottled, unsweetened']","[10.46, 28.78]","[4.05, 0.42]","[83.47, 112.14]","[1.28, 1.37]",USA,metric,"My snack consists of a 17g SNICKERS Bar and a raw banana that weighs 126g, and 507 grams of bottled water."
"['Chicken wing, rotisserie', 'Water, bottled, unsweetened']",[0.21],[6.31],[89.95],[8.2],USA,metric,"I decided to go with a rotisserie chicken wing weighing 35 grams for my dinner, and 507 grams of bottled water."
"['Chicken noodle dinner, baby food, junior', 'Water, bottled, unsweetened']",[13.26],[5.49],[125.8],[6],USA,metric,"I'm having 170 grams of baby food chicken noodle dinner for my lunch, and 507 grams of bottled water."
"['Beef Gravy', 'Crisp bread', 'Jowar Roti', 'Milk Tea', 'Rice', 'Water, bottled, unsweetened']","[2.4999999999999996, 23.4, 20.0, 11.899999999999999, 15.5]","[9.299999999999999, 1.4, 0.9, 2.0, 0.2]","[113, 123, 94, 71, 69]","[4.6, 4.0, 2.2, 1.5, 1.3]",IND,metric,"For breakfast, I ate 38.5g of beef gravy, 30g of crisp bread, and 22.5g of jowar roti. I also enjoyed 38.4g of milk tea and 64.2g of rice, and 507 grams of bottled water."
"['Coffee, pre-sweetened with low calorie sweetener', 'Water, bottled, unsweetened']",[2.71],[0],[12],[0.24],USA,metric,"I'm having 240 grams of pre-sweetened coffee with low calorie sweetener for a snack, and 507 grams of bottled water."
"['Macaroni or noodles with cheese, Easy Mac type', 'Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw', 'Water, bottled, unsweetened']","[43.22, 0]","[4, 5.67]","[236.5, 124.6]","[7.01, 17.23]",USA,metric,"For my snack, I'm eating 215 grams of Easy Mac and 70 grams of broiled chicken thigh, and 507 grams of bottled water."
"['ARTIFICIAL BEVERAGE, LIQUID COMMERCIAL, FRUITS FLAVOUR', 'Water, bottled, unsweetened']",[23.67],[0.03],[92],[0.0],CRI,metric,"I'm enjoying 250 grams of a fruit-flavored liquid beverage as a snack, and 507 grams of bottled water."
"['Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)', 'Banana, raw', 'Water, bottled, unsweetened']","[13.52, 28.78]","[4.16, 0.42]","[98.91, 112.14]","[2.12, 1.37]",USA,metric,"I’ve got a 21g granola bar from General Mills and a raw banana that’s 126g for lunch, and 507 grams of bottled water."
