description,carb,fat,energy,protein,country,amount_type,queries
"['Peanuts, PROCESS = Raw, no heat treatment']",[17.4],[48.9],[612],[27.9],COD,metric,I'm enjoying a snack of 108 grams of raw peanuts.
"['Snack mix, plain (Chex Mix)', 'Cookie, NFS', 'Pear, raw']","[45.41, 13.07, 27.41]","[6, 4.94, 0.25]","[256.8, 98.4, 102.6]","[5.3, 1.02, 0.65]",USA,metric,"I’ve got a snack of 60 grams of Chex Mix, a cookie that’s about 20 grams, and a raw pear weighing 180 grams."
"['Frozen yogurt cone, vanilla']",[29.88],[4.66],[173.75],[4],USA,metric,I have a 125-gram vanilla frozen yogurt cone for my dinner.
"['Chicken or turkey with mushroom sauce', 'Broccoli, fresh, cooked with oil']","[2.37, 10.72]","[7.34, 5.44]","[174.15, 97.6]","[24.88, 4.54]",USA,metric,Tonight's dinner includes 129 grams of chicken or turkey in mushroom sauce alongside 160 grams of cooked broccoli with a bit of oil.
"['Chocolate milk, made from syrup with reduced fat milk']",[32.76],[4.09],[195.92],[7.19],USA,natural,I made myself a cup of chocolate milk with reduced fat milk and syrup for a quick snack.
"['Kit Kat', 'Cheese flavored corn snacks (Cheetos)']","[9.69, 30.51]","[3.9, 20.53]","[77.7, 319.2]","[0.98, 3.33]",USA,natural,I’ve got a fun-sized Kit Kat along with a medium serving bag of Cheetos for my snack.
"['BREAD W/CREAM', 'CHAMONILE TEA W/SUGAR', 'SNACKS, TORTILLA CHIPS (NACHOS), CHEESE FLAVOUR, COMMERCIAL']","[27.17, 17.52, 24.34]","[2.6999999999999997, 0.0, 16.09]","[154, 68, 251]","[4.75, 0.0, 2.59]",CRI,metric,"I'm snacking on 66 grams of bread topped with cream, along with 19 grams of chamomile tea with sugar and some cheese-flavored tortilla chips weighing 45 grams."
"['Lemon, with peel, fresh', 'Sugar', 'Tea, brewed, prepared with tap water, tannin free, without sugar']","[0.14, 8.36, 0.0]","[0.0, 0.0, 0.0]","[1, 31, 0]","[0.04, 0.0, 0.15]",ITA,metric,"For lunch, I have a brewed tea of 150 grams with 6 grams of lemon and 8 grams of sugar."
"['Potato chips, barbecue flavored', 'Tea, iced, bottled, black']","[15.66, 53.57]","[8.7, 1.09]","[136.36, 223.2]","[1.82, 0.0]",USA,natural,"For a snack, I'm having a small bag of barbecue-flavored potato chips and a 16 fl oz bottle of iced black tea."
"['Beer, low carb']",[3.5],[0.0],[129.6],[0.82],USA,natural,I’m drinking a can of low carb beer as a quick snack.
"['Chocolate milk, NFS']",[33.38],[0.0],[166.16],[8.41],USA,natural,I decided to have a cup of NFS chocolate milk for my snack.
"['Cereal or granola bar, with rice cereal', 'Crackers, cheese, reduced fat']","[22.54, 30.69]","[2.52, 5.25]","[116.76, 188.1]","[0.95, 4.5]",USA,metric,I’ve got a rice cereal granola bar weighing 28 grams and 45 grams of reduced-fat cheese crackers for lunch.
"['Pan Dulce, no topping', 'Coffee creamer, liquid, flavored', 'Coffee, instant, reconstituted']","[31.57, 5.26, 1.51]","[6.48, 2.02, 0.0]","[205.52, 37.65, 7.2]","[5.28, 0.1, 0.24]",USA,natural,"For breakfast, I have a small Pan Dulce, a cup of instant coffee, and an individual container of flavored creamer."
"['Coffee, macchiato, sweetened']",[4.28],[0.47],[23.56],[0.7],USA,metric,"Just having a sweetened macchiato coffee, about 62 grams, for my snack."
"['BLACK COOKED BEANS W/HEAVY CREAM', 'FRIED TORTILLA (TOSTADA) W/CHICKEN PASTE & KETCHUP']","[32.23, 46.57]","[6.8, 14.51]","[234, 240]","[12.209999999999999, 9.629999999999999]",GTM,metric,"For my lunch, I’ve got 150.4 grams of black cooked beans with heavy cream and a 160g fried tortilla with chicken paste and ketchup."
"['Milk With Full Cream Pasteurized', 'Sponge Cake With Cream Topping']","[13.6, 23.23]","[6.52, 1.05]","[140, 110]","[6.71, 2.06]",MYS,metric,I enjoyed a snack of 200 grams of full cream milk along with 40 grams of sponge cake with cream on top.
"['RICE (POLISHED, PARBOILED, NEEDLE, NEEDLED, ETC.), NOT DETERMINED', 'STRING BEANS, NOT DETERMINED', 'SUN-DRIED MEAT, FRYING', 'TAPIOCA FLOUR, NOT DETERMINED']","[39.33, 72.52, 0.0, 28.01]","[2.15, 10.19, 31.55, 0.13]","[186, 414, 395, 112]","[3.24, 27.94, 27.75, 0.54]",BRA,metric,"I ate a lunch that consisted of 135 grams of rice, 560 grams of string beans, 112 grams of sun-dried meat that was fried, and 32 grams of tapioca flour."
"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread', 'Fruit leather and fruit snacks candy']","[50.65, 21.92]","[18.51, 0.74]","[406.56, 94.9]","[12.89, 0.14]",USA,metric,"For lunch, I'm having a peanut butter and jelly sandwich made with regular peanut butter and jelly on white bread (112.0g), along with some fruit leather and fruit snacks (26.0g)."
"['Cereal or granola bar (Quaker Chewy Granola Bar)', 'Cake or cupcake, oatmeal']","[16.85, 31.61]","[3.98, 6.33]","[100.32, 185.0]","[1.36, 1.62]",USA,natural,"For a snack, I'm having a Quaker Chewy Granola Bar and a regular oatmeal cupcake."
"['Soft drink, cola, decaffeinated, diet', 'Potato, french fries, fast food', 'Big Mac (McDonalds)']","[0.86, 74.59, 44.14]","[0, 26.51, 28.9]","[7.2, 561.6, 535.05]","[0.86, 6.17, 24.48]",USA,metric,"For breakfast, I'm having a 205g Big Mac from McDonald's, a serving of 180g fast food French fries, and a 720g diet decaffeinated cola."
"['Cheeseburger, from fast food, 1 medium patty', 'Ketchup']","[30.72, 4.66]","[26.75, 0.02]","[490.05, 17.17]","[29.57, 0.18]",USA,natural,"For lunch, I'm having a cheeseburger with a medium patty from a fast food place, and I'm adding a tablespoon of ketchup."
"['Oatmeal with applesauce and bananas, baby food, jarred', 'Bananas and pineapple, baby food, strained']","[17.88, 20.11]","[1.01, 0.0]","[85.88, 73.45]","[1.01, 0.23]",USA,natural,I’ll be eating a jar of oatmeal with applesauce and bananas baby food and a jar of strained bananas and pineapple for dinner.
"['Chapati', 'Green Gram (Hesaru bele) Bhaji', 'Green Gram Dhal Sambar', 'Rice']","[29.5, 6.3, 4.4, 14.0]","[7.1000000000000005, 7.0, 0.9999999999999999, 0.2]","[199, 99, 61, 63]","[4.0, 2.7, 1.5, 1.2]",IND,metric,"I'm enjoying 42.1g of chapati with 48.5g of green gram bhaji, 25.3g of dhal sambar, and 58g of rice for lunch."
"['Beer', 'Chicory coffee ingredient', 'Dried fish,  STATE=Fine powder,  PROCESS=Boiling', 'Dried vegetables, SOURCE-COMMODITIES = Baobab leaves, PROCESS = Boiling', 'Lentils (dry), PROCESS = Boiling, PRODUCTION-METHOD = Wild or gathered or hunted', 'Peanuts, PROCESS = Broiling/grilling, PART-CONSUMED-ANALYSED = With husks', 'Salt,  PROCESS=Boiling', 'Salt, INGREDIENT = Potassium, PHYSICAL-STATE = Liquid', 'Sorghum flour, PROCESS = Drying (dehydration), PROCESS = Boiling, QUALITATIVE-INFO = Red, PART-CONSUMED-ANALYSED = With husks', 'Stock cubes or granulate (bouillon base)']","[8.9, 0.4, 0.0, 1.0, 27.5, 12.8, 0.0, 0.0, 78.3, 0.2]","[0.0, 0.4, 0.6, 0.5, 0.6, 29.7, 0.0, 0.0, 3.5, 0.0]","[99, 7, 11, 15, 159, 349, 0, 0, 356, 2]","[0.7, 43.7, 1.3, 1.8, 12.3, 14.1, 0.0, 0.0, 11.9, 0.2]",BFA,metric,"For a snack, I had 241g of beer alongside 2g of chicory coffee ingredient, 3g of dried fish, 11g of dried vegetables, 51g of lentils, 85g of peanuts, 3g of salt, 17g of liquid potassium, 105g of sorghum flour, and 1g of stock cubes."
"['Potato chips, lightly salted', 'Cookie, chocolate chip, made from home recipe or purchased at a bakery']","[13.36, 17.81]","[8.83, 8.44]","[139.75, 146.7]","[1.68, 1.74]",USA,metric,"For a snack, I have 25 grams of lightly salted potato chips and 30 grams of chocolate chip cookies."
"['Broccoli, fresh, cooked, no added fat', 'Chicken breast, baked, broiled, or roasted, skin eaten, from raw']","[10.7, 0.0]","[0.59, 9.68]","[54.25, 211.2]","[4.54, 28.88]",USA,natural,"For dinner, I'm having a cup of cooked fresh broccoli and a small baked chicken breast."
"['Chicken with noodles and cheese sauce, diet frozen meal']",[30.55],[7.49],[298.68],[26.38],USA,natural,"Lunch consists of a diet frozen meal that’s 9.25 oz, featuring chicken, noodles, and cheese sauce."
"['Cheese, American', 'Bread, white']","[1.86, 13.78]","[4.84, 1.01]","[64.47, 75.6]","[3.38, 2.64]",USA,metric,My lunch consists of 21 grams of American cheese and 28 grams of white bread.
"['Coffee creamer, liquid', 'Coffee, brewed']","[3.41, 0]","[2.99, 0.1]","[40.8, 4.8]","[0.3, 0.58]",USA,metric,I prepared a snack with brewed coffee weighing 480 grams and added 30 grams of liquid coffee creamer.
"['Roll, sweet, cinnamon bun, frosted', 'Sports drink (Powerade)']","[43.74, 48.61]","[23.95, 0.31]","[406.8, 198.4]","[4.0, 0.0]",USA,natural,I’m enjoying a medium sweet roll with frosting and a bottle of Powerade this morning.
"['Potato, french fries, fast food', 'Double cheeseburger (McDonalds)']","[45.58, 29.65]","[16.2, 26.7]","[343.2, 465.3]","[3.77, 26.8]",USA,metric,"I had a McDonald's double cheeseburger, which is 165 grams, and 110 grams of french fries for lunch."
"['Biscuit with inclusions, filling or coating, PROCESS = Chocolate coating, INGREDIENT = Wheat flour, INGREDIENT = Baked milk and similar, INGREDIENT = Hen eggs, INGREDIENT = Butter, INGREDIENT = Sucrose (common sugar)', 'Cereal bars plain', 'Flavoured milks, INGREDIENT = Cocoa powder']","[24.89, 16.58, 20.68]","[5.81, 3.75, 6.78]","[160.4, 100.7, 166]","[2.36, 1.68, 6.34]",ARG,metric,"For my snack, I have a 38g biscuit filled with chocolate, a 23g cereal bar, and I'm drinking 200g of cocoa-flavored milk."
"['Dried vegetables, SOURCE = Common bean (as plant), SOURCE-COMMODITIES = Leafy vegetables, PROCESS = Boiling', 'Dried vegetables, SOURCE-COMMODITIES = Baobab leaves, PROCESS = Boiling', 'Salt, INGREDIENT = Potassium, PHYSICAL-STATE = Liquid', 'Salt, iodised,  PROCESS=Boiling', 'Sorghum flour, PROCESS = Drying (dehydration), PROCESS = Boiling, QUALITATIVE-INFO = White, PART-CONSUMED-ANALYSED = With husks']","[6.1, 0.5, 0.0, 0.0, 39.5]","[0.3, 0.2, 0.0, 0.0, 1.7]","[47, 8, 0, 0, 180]","[4.8, 1.0, 0.0, 0.0, 6.0]",BFA,metric,"For lunch, I had 17g of boiled common bean leaves, 6g of boiled baobab leaves, 7g of liquid potassium salt, 2g of iodized salt, and 53g of dried sorghum flour."
"['Soft drink, cola, diet', 'Pizza with extra meat, medium crust']","[1.04, 26.89]","[0.11, 12.52]","[7.2, 276.74]","[0.4, 13.99]",USA,natural,I enjoyed a can of diet cola along with a small piece of medium crust pizza with extra meat for breakfast.
"['Cheese flavored corn snacks (Cheetos)', 'Soft drink, fruit flavored, caffeine containing, diet']","[14.99, 0.0]","[10.08, 0.0]","[156.8, 0.0]","[1.64, 0.36]",USA,natural,I'm enjoying a snack of Cheetos from a small bag and a 12 oz can of diet fruit soda.
['Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar)'],[21.4],[8],[170.45],[3.2],USA,metric,I have a 35g Nature Valley granola bar for a little snack.
"['Orange juice, 100%, canned, bottled or in a carton', 'Pork sausage', 'Egg omelet or scrambled egg, made with butter']","[14.31, 0.28, 0.37]","[0.15, 5.45, 7.78]","[60.76, 65.0, 99.0]","[0.84, 3.71, 6.47]",USA,natural,"I’ve got a school carton of orange juice, a link of pork sausage, and a buttered scrambled egg for breakfast."
"['Cheese sandwich, Cheddar cheese, on white bread, no spread', 'Soup, mostly noodles', 'Sports drink (Powerade)', 'Energy drink (Monster)', 'Egg, whole, boiled or poached']","[30.55, 45.3, 77.77, 55.95, 0.36]","[16.43, 13.24, 0.5, 0.0, 4.76]","[333.54, 330.98, 317.44, 233.12, 71.5]","[15.44, 7.66, 0.0, 2.33, 6.28]",USA,natural,"For lunch, I'm having a boiled egg and a cheese sandwich made with cheddar cheese on white bread. I'm also having a package of noodle soup, a bottle of Powerade sports drink, and a can of Monster energy drink."
"['Apple with skin, raw']",[20.1],[0.3],[92],[0.4],PAK,metric,I'm having a raw apple with skin that weighs 148.8 grams for a snack.
"['Milk, whole', 'Turkey, baby food, strained']","[11.39, 0.99]","[7.81, 4.4]","[146.4, 78.81]","[8, 8.16]",USA,metric,I enjoyed 244 grams of whole milk and 71 grams of turkey baby food for breakfast.
"['Cereals ready-to-eat, ""Chocapic"" - Nestlé', 'Cocoa, powder, with sugar, ""Nesquik""- Nestle\'', 'Milk, cow, whole']","[24.6, 11.2, 12.25]","[1.44, 0.42, 9.0]","[116, 48, 160]","[2.52, 0.56, 8.25]",ITA,metric,"I had a snack that included 30g of Chocapic, 14g of Nesquik cocoa powder, and 250g of whole milk."
"['Fruit, NFS']",[29.53],[0.43],[114.7],[1.41],USA,metric,Dinner tonight is 185 grams of fruit.
"['Sports drink, low calorie (Gatorade G2)']",[18.62],[0.1],[76.8],[0.48],USA,natural,"For my snack, I’m having a 32 fl oz bottle of Gatorade G2."
['Trail mix with nuts and fruit'],[71.57],[37.44],[632.8],[15.26],USA,natural,"For a snack, I’m enjoying a cup of trail mix that has nuts and fruit in it."
"['Barley, fat added']",[46.29],[4.62],[236.3],[3.74],USA,natural,"For breakfast, it's just a cup of cooked barley with a bit of fat."
"['Soft drink, cola', 'Gordita, sope, or chalupa with meat and sour cream', 'Taco or tostada with meat and sour cream']","[38.54, 33.55, 23.05]","[0.93, 21.42, 20.46]","[156.24, 377.91, 323.19]","[0.0, 13.77, 12.53]",USA,natural,"For lunch, I'm having a can of cola with a Taco Bell chalupa with meat and sour cream, and a medium taco with meat and sour cream."
"['Apple, raw', 'Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)']","[27.62, 27.05]","[0.34, 8.32]","[104, 197.82]","[0.52, 4.24]",USA,metric,"For my snack, I have a 200g apple and a 42g Nature Valley Crunchy Granola Bar."
"['Orange juice, 100%, with calcium added, canned, bottled or in a carton', 'Doughnut, yeast type']","[13.97, 28.76]","[0.15, 13.62]","[58.28, 252.6]","[0.84, 3.68]",USA,metric,"For breakfast, I'm having 124 grams of orange juice with added calcium and a yeast doughnut that weighs 60 grams."
"['Biryani, potato', 'Curd, sweetened, whole milk']","[12.6, 2.8]","[6.199999999999999, 1.3]","[111, 24]","[1.0999999999999999, 0.8]",PAK,metric,Dinner tonight includes 70.6 grams of biryani made with potatoes and 25 grams of sweetened whole milk curd.
"['CHICKEN BLOOD, BROILED', 'PORK CURED SAUSAGE (PEPPERY), COOKED', 'RICE, WHITE, BOILED/STEAMED']","[0.13, 5.91, 22.27]","[0.03, 23.79, 0.15]","[16, 280, 100]","[3.63, 10.6, 1.57]",PHL,metric,"For dinner, I ate 15 grams of chicken blood that was broiled, along with 30 grams of cooked peppery sausage and 75 grams of steamed white rice."
"['Pig fresh meat, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Half fat or medium fat', 'Potato puree from flakes or powder', 'Wheat bread and rolls, white (refined flour)', 'Wine, red']","[0, 16.13, 39.9, 3.92]","[26.88, 4.8, 0.49, 0]","[504, 116, 187.6, 127.5]","[61.44, 2.13, 5.88, 0.1]",ARG,metric,"For dinner, I'm having 300g of raw medium fat pig meat, 100g of potato puree made from flakes, 70g of white wheat bread, and 150g of red wine."
"['Pizza with meat and vegetables, from frozen, thin crust']",[54.3],[31.17],[596.16],[24.36],USA,natural,I'm going to eat a personal size frozen pizza with meat and veggies for dinner.
"['Ketchup', 'Corn dog, frankfurter or hot dog with cornbread coating', 'Soft drink, fruit flavored, caffeine free']","[4.66, 23.72, 37.72]","[0.02, 10.58, 0.07]","[17.17, 220, 148.8]","[0.18, 7.54, 0.19]",USA,metric,"I have a snack of 17 grams of ketchup, an 88-gram corn dog, and a 372-gram fruit-flavored soft drink."
"['Mixed vegetables, garden vegetables, baby food, junior']",[13.94],[0.68],[61.2],[2.38],USA,metric,I’ve got 170 grams of junior baby food made from mixed garden vegetables for dinner.
"['Noodles with vegetables in tomato-based sauce, diet frozen meal', 'Yogurt, low fat milk, fruit', 'Sunflower seeds, plain, salted']","[30.79, 16.34, 34.24]","[4.43, 1.55, 70.86]","[193.12, 100.57, 828.0]","[9.54, 5.27, 27.5]",USA,natural,"For lunch, I'm having a 10 oz diet frozen meal of noodles with vegetables in a tomato-based sauce, along with a 4 oz container of low-fat yogurt with fruit, and a cup of plain salted sunflower seeds."
"['Chapati', 'Chicken Gravy', 'Egg, whole, cooked, hard-boiled', 'Rice']","[18.5, 8.5, 0.5, 14.2]","[4.4, 24.0, 4.4, 0.2]","[124, 345, 64, 64]","[2.5, 24.3, 5.2, 1.2]",IND,metric,"For dinner, I’m having 26.4g of chapati, 153.6g of chicken gravy, a 41g hard-boiled egg, and 58.9g of rice."
"['LIVER SAUSAGE', 'PUREE PEACHES - DRY WEIGHT 21%-ENRICHED', 'WHITE BREAD OF WHEAT BULGARIA']","[0.2, 6.1, 16]","[4, 0, 0.2]","[42, 25, 75]","[1.4, 0.2, 2.3]",BGR,metric,"For a snack, I'm having 20g of liver sausage, 30g of dry-weight pureed peaches, and 30g of white bread from Bulgaria."
"['Egg roll, with beef and/or pork']",[17.84],[9.17],[177.28],[6.01],USA,metric,I'm enjoying a 64g egg roll with beef and pork for my lunch.
"['Blintz, cheese-filled', 'Crepe, fruit filled', 'Beer']","[14.06, 21.1, 12.78]","[5.36, 5.56, 0]","[130.2, 146.4, 154.8]","[6.34, 3.65, 1.66]",USA,metric,"For dinner tonight, I’ve got a cheese-filled blintz at 70 grams, a fruit crepe at 80 grams, and 360 grams of beer."
"['Soup, mostly noodles', 'Soft drink, pepper type, diet']","[45.3, 1.04]","[13.24, 0.11]","[330.98, 7.2]","[7.66, 0.4]",USA,metric,I’ve got 494 grams of noodle soup and 360 grams of diet pepper soda for lunch.
"['Kefir, NS as to fat content']",[18.25],[2.34],[126.88],[8.76],USA,metric,I have 244 grams of kefir for my snack.
"['Chicken Egg Fried', ""Mcdonald'S Big Mac Hamburger"", ""Mcdonald'S French Fries"", 'Pepsi Regular Cola Soda']","[0.35, 47.0, 46.85, 40.43]","[11.1, 30.0, 20.36, 0.0]","[121, 560, 384, 148]","[5.03, 25.0, 3.85, 0.0]",MYS,metric,"Dinner consisted of 46 grams of Chicken Egg Fried, a 219g McDonald's Big Mac, 114 grams of fries, and 350 grams of Pepsi."
"['Cheese flavored corn snacks (Cheetos)', 'Burrito with beans, meatless']","[18.74, 54.44]","[12.6, 25.17]","[196.0, 547.2]","[2.05, 26.28]",USA,natural,I have a medium burrito filled with beans and a cup of Cheetos to go with it for lunch.
"['SNICKERS Bar', 'Banana, raw']","[10.46, 28.78]","[4.05, 0.42]","[83.47, 112.14]","[1.28, 1.37]",USA,metric,My snack consists of a 17g SNICKERS Bar and a raw banana that weighs 126g.
"['Chicken wing, rotisserie']",[0.21],[6.31],[89.95],[8.2],USA,metric,I decided to go with a rotisserie chicken wing weighing 35 grams for my dinner.
"['Chicken noodle dinner, baby food, junior']",[13.26],[5.49],[125.8],[6],USA,metric,I'm having 170 grams of baby food chicken noodle dinner for my lunch.
"['Beef Gravy', 'Crisp bread', 'Jowar Roti', 'Milk Tea', 'Rice']","[2.4999999999999996, 23.4, 20.0, 11.899999999999999, 15.5]","[9.299999999999999, 1.4, 0.9, 2.0, 0.2]","[113, 123, 94, 71, 69]","[4.6, 4.0, 2.2, 1.5, 1.3]",IND,metric,"For breakfast, I ate 38.5g of beef gravy, 30g of crisp bread, and 22.5g of jowar roti. I also enjoyed 38.4g of milk tea and 64.2g of rice."
"['Coffee, pre-sweetened with low calorie sweetener']",[2.71],[0],[12],[0.24],USA,metric,I'm having 240 grams of pre-sweetened coffee with low calorie sweetener for a snack.
"['Macaroni or noodles with cheese, Easy Mac type', 'Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw']","[43.22, 0]","[4, 5.67]","[236.5, 124.6]","[7.01, 17.23]",USA,metric,"For my snack, I'm eating 215 grams of Easy Mac and 70 grams of broiled chicken thigh."
"['ARTIFICIAL BEVERAGE, LIQUID COMMERCIAL, FRUITS FLAVOUR']",[23.67],[0.03],[92],[0.0],CRI,metric,I'm enjoying 250 grams of a fruit-flavored liquid beverage as a snack.
"['Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar)', 'Banana, raw']","[13.52, 28.78]","[4.16, 0.42]","[98.91, 112.14]","[2.12, 1.37]",USA,metric,I’ve got a 21g granola bar from General Mills and a raw banana that’s 126g for lunch.
"['Chapatti, brown rice flour with ghee', 'Tea with cow milk', 'Tomato chutney', 'Yogurt drink']","[107.2, 14.8, 3.2, 17.0]","[6.0, 2.5, 2.9000000000000004, 7.8]","[528, 94, 41, 140]","[10.1, 2.5999999999999996, 0.4, 4.8]",PAK,metric,"This morning, I ate 122.6 grams of chapatti, had 82 grams of tea with cow milk, enjoyed 27.1 grams of tomato chutney, and finished with a 149.8 grams yogurt drink."
"['Cheese, American', 'Mustard', 'Biscuit, home recipe', 'Egg, whole, fried, NS as to fat', 'Pork sausage']","[1.86, 0.26, 19.98, 0.37, 0.5]","[4.84, 0.17, 6.96, 8.01, 9.54]","[64.47, 3.05, 154.35, 101.2, 113.75]","[3.38, 0.21, 3.03, 6.45, 6.49]",USA,natural,"For breakfast, I'm having a biscuit with a slice of American cheese, a packet of mustard, a fried egg, and a pork sausage patty."
"['Celery, raw']",[0.12],[0.01],[0.56],[0.03],USA,natural,I'll snack on a piece of raw celery.
"['Chilaquiles, tortilla casserole with salsa, cheese, and egg']",[56.03],[40.39],[663.52],[20.02],USA,natural,"Snacking on a cup of chilaquiles made with tortillas, salsa, cheese, and egg."
"['Ice cream, vanilla', 'Milk, whole', 'SNICKERS Bar']","[28.32, 11.39, 5.54]","[13.2, 7.81, 2.15]","[248.4, 146.4, 44.19]","[4.2, 8.0, 0.68]",USA,natural,"For a snack, I'm having a scoop of vanilla ice cream with a cup of whole milk and a miniature Snickers bar."
"['Coffee, Cappuccino', 'Doughnut, custard-filled, with icing']","[9.94, 41.62]","[3.56, 16.83]","[97.2, 331.2]","[6.16, 4.07]",USA,natural,"For breakfast, I'm having a small cappuccino and a custard-filled doughnut with icing."
"['Soft drink, cola, decaffeinated']",[39.36],[0],[152.52],[0],USA,metric,I just opened a 372g bottle of decaffeinated cola for a quick snack.
"['Soft drink, fruit flavored, caffeine free', ""Milk 'n Cereal bar""]","[37.72, 28.82]","[0.07, 4.39]","[148.8, 165.2]","[0.19, 2.59]",USA,natural,"For my snack, I’m enjoying a Milk 'n Cereal bar and a 12 fl oz can of soft drink that’s fruit-flavored and caffeine-free."
"['Peanut butter', 'Bread, white, toasted', 'Egg omelet or scrambled egg, with meat, no added fat']","[3.57, 13.52, 0.58]","[8.18, 0.98, 7.4]","[95.52, 74.25, 109.9]","[3.6, 2.59, 9.52]",USA,metric,I'm enjoying a breakfast that includes 25 grams of toasted white bread with 16 grams of peanut butter and a 70-gram omelet with meat.
"['Jelly, all flavors']",[9.79],[0],[37.24],[0.02],USA,metric,I’ve got 14 grams of jelly for a quick snack.
"['Tortilla chips, plain', 'Salsa, red, commercially-prepared', 'Beer', 'Fajita with chicken and vegetables']","[20.33, 16.78, 17.04, 20.47]","[6.2, 0.47, 0, 10.05]","[141.6, 72.21, 206.4, 223.79]","[2.13, 3.59, 2.21, 13.44]",USA,metric,"For my dinner, I'm eating 30 grams of plain tortilla chips and 249 grams of red salsa, along with a 480-gram beer and a fajita that weighs 139 grams with chicken and veggies."
"['Bread, sorghum, unleavened ', 'Ethiopian kale, boiled with salt']","[39.7, 4.8]","[0.4, 0.3]","[183, 24]","[5.1, 1.6]",ETH,metric,"For lunch, I'm having 90 grams of unleavened sorghum bread with 86 grams of boiled Ethiopian kale seasoned with salt."
"['Guava common/ Mak Si Da\xa0\xa0', 'Sugar cane, peeled/ Oiy ']","[6.96, 5.23]","[0.06, 0.12]","[30, 20]","[0.4, 0.06]",LAO,metric,I just grabbed a snack with 57.5g of guava and 29.7g of sugar cane.
"['Follow-on formula, milk-based, liquid', 'Sponge biscuits']","[1.9, 7.76]","[0.85, 1.18]","[17.5, 47.5]","[0.55, 1.38]",ARG,metric,I started my day with 25 grams of follow-on formula and 13 grams of sponge biscuits for breakfast.
"['Pear, canned, in syrup']",[37.88],[0.12],[142.5],[0.45],USA,natural,"For a snack, I’m enjoying a cup of pears that are canned in syrup."
"['Cake or cupcake, white, with icing or filling']",[42.15],[13.43],[293.25],[2.24],USA,natural,"I'm enjoying a regular cupcake, it's white and has icing on top, as a snack."
"['Milk, low fat (1%)', 'Cheese, Mozzarella, part skim', 'Apple, raw', 'Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread']","[12.66, 1.26, 22.79, 48.38]","[2.32, 5.78, 0.28, 18.74]","[104.92, 84.48, 85.8, 402.08]","[8.25, 6.72, 0.43, 14.07]",USA,natural,"I'm eating a sandwich with regular peanut butter and jelly on wheat bread, along with a cup of low-fat milk, a mozzarella cheese stick, and a small apple for lunch."
