description,carb,fat,energy,protein,country,amount_type,queries
"['Milk, reduced fat (2%)', 'Burrito, taco, or quesadilla with egg']","[11.98, 37.92]","[4.64, 24.79]","[122, 463.32]","[8.17, 20.83]",USA,metric,"For breakfast, I have 198 grams of a taco burrito with egg and 244 grams of reduced-fat milk."
"['Banana, raw', 'Ice cream bar, chocolate']","[28.78, 18.88]","[0.42, 17.92]","[112.14, 246.75]","[1.37, 3.31]",USA,metric,"I decided on a snack of a raw banana, which is 126 grams, and a chocolate ice cream bar that’s 75 grams."
"['Graham crackers', ""Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar)""]","[11.65, 21.35]","[1.59, 3.5]","[64.5, 128.96]","[1, 3]",USA,metric,I’ve got a snack of graham crackers weighing 15 grams along with a 32-gram Nutri-Grain bar.
"['Frankfurter or hot dog, beef', 'Roll, white, soft']","[1.73, 14.03]","[16.8, 1.09]","[188.67, 78.12]","[7.02, 2.74]",USA,metric,Tonight's dinner is a 57-gram beef hot dog in a 28-gram soft roll.
"['Gerber Finger Foods, Puffs, baby food']",[10.74],[1.39],[58.94],[0.9],USA,metric,I’m having 14 grams of baby food puffs from Gerber for breakfast.
"['Coffee, brewed', 'Coffee creamer, liquid, flavored']","[0, 10.52]","[0.1, 4.05]","[4.8, 75.3]","[0.58, 0.21]",USA,metric,"I’m starting my day with some brewed coffee and a splash of flavored creamer, weighing in at 480 grams and 30 grams respectively."
['Pork sausage'],[0.5],[9.54],[113.75],[6.49],USA,metric,"For this morning's meal, I've got 35 grams of pork sausage."
"['Chicken fillet sandwich, from school cafeteria', 'Orange juice, 100%, canned, bottled or in a carton', 'Milk, fat free (skim)']","[27.42, 15.12, 11.93]","[7.42, 0.16, 0.2]","[230.92, 64.19, 82.96]","[13.45, 0.89, 8.37]",USA,metric,"I enjoyed a chicken fillet sandwich weighing about 92 grams, paired with 131 grams of orange juice, and 244 grams of skim milk for lunch."
"['Pasta with tomato-based sauce and meat, home recipe', 'Soft drink, cola, diet']","[47.88, 1.04]","[6.45, 0.11]","[307.5, 7.2]","[14.65, 0.4]",USA,metric,"For dinner, I'm having 250 grams of pasta with a tomato-based sauce and meat, along with a 360-gram diet cola."
"['Sausage and cheese on English muffin', 'Potato, hash brown, from fast food', 'Coffee, brewed']","[28.82, 15.88, 0]","[23.56, 9.37, 0.12]","[385.32, 149.6, 6]","[15.14, 1.42, 0.72]",USA,metric,"This morning, I’m eating a 114g sausage and cheese English muffin, 55g of hash browns, and drinking 600g of brewed coffee."
"['Tilapia, steamed or poached', 'Thousand Island dressing, light', 'Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing']","[0, 3.68, 3.12]","[2.42, 1.73, 0.15]","[136.73, 29.84, 14.6]","[28.53, 0.13, 0.91]",USA,metric,"I’ve got 113 grams of tilapia, either steamed or poached, with 15.3 grams of light Thousand Island dressing, and a salad with 73 grams of assorted veggies for dinner."
"['Coffee, brewed', 'Cream, half and half', 'Chewing gum, regular']","[0, 0.64, 3.87]","[0.1, 1.72, 0.01]","[4.8, 19.65, 14.4]","[0.58, 0.47, 0]",USA,metric,"For breakfast, I'm having 480 grams of brewed coffee with 15 grams of half and half, and I'm chewing on 4 grams of regular gum."
"['Meat, NFS']",[0],[11.12],[269.34],[39.73],USA,metric,I'm eating 134 grams of meat for my lunch.
"['Chicken dinner, NFS, frozen meal']",[41.34],[13.35],[393.12],[27.3],USA,metric,I’m eating a frozen chicken dinner that weighs 312 grams for dinner.
['Polish sausage'],[3.77],[22.26],[252.75],[9.34],USA,metric,I’m eating 75 grams of Polish sausage for dinner.
"['Mixed vegetables, garden vegetables, baby food, strained', 'Applesauce, baby food, strained']","[8.9, 12.2]","[0.12, 0.23]","[38.42, 46.33]","[1.14, 0.23]",USA,metric,I'm having a lunch that includes 113 grams of mixed vegetables baby food and 113 grams of strained applesauce.
"['Tangerine, raw', 'Grilled cheese sandwich, Cheddar cheese, on white bread', 'Nutrition bar (Clif Bar)']","[14.54, 30.6, 44.5]","[0.34, 26.89, 4]","[57.77, 425.72, 235.28]","[0.88, 15.52, 10]",USA,metric,"For a snack, I'm having a raw tangerine (109.0g), a grilled cheese sandwich with cheddar cheese on white bread (116.0g), and a Clif Bar (68.0g)."
"['Pork skin rinds', 'Soft drink, pepper type', 'Pastry, meat / poultry-filled', 'Doughnut, cake type, with icing']","[0, 64.23, 26.04, 38.42]","[8.76, 1.55, 16.03, 17.39]","[152.32, 260.4, 287.3, 323.25]","[17.16, 0, 9.58, 3.19]",USA,metric,"Starting my day with 28 grams of pork skin rinds, a 620-gram pepper soft drink, an 85-gram pastry filled with meat, and a 75-gram iced doughnut."
"['Cookie, vanilla sandwich', 'Coffee, brewed']","[12.98, 0]","[3.6, 0.07]","[86.94, 3.6]","[0.81, 0.43]",USA,metric,"For breakfast, I had an 18g cookie and 360g of coffee."
"['Turnover, chicken- or turkey-, and vegetable-filled, lower in fat']",[27.83],[7.05],[215.04],[10.07],USA,metric,"For breakfast, I’m having a lower fat turnover with chicken or turkey and vegetables, and it weighs 128 grams."
"['Soft drink, fruit flavored, caffeine containing', 'Cheeseburger, on white bun, 1 medium patty']","[47.73, 30.72]","[0, 26.75]","[182.28, 490.05]","[0, 29.57]",USA,metric,I’ve got a 372-gram fruit-flavored soft drink and a 165-gram cheeseburger for lunch.
['Fajita with chicken and vegetables'],[20.47],[10.05],[223.79],[13.44],USA,metric,"For dinner, I'm eating a fajita that has chicken and vegetables and weighs 139 grams."
"['Egg omelet or scrambled egg, made with oil']",[0.37],[8.46],[105.05],[6.44],USA,metric,I'm enjoying a 55g scrambled egg made with oil for lunch.
"['Soft drink, fruit flavored, caffeine free', 'Garlic bread, from fast food / restaurant', 'Pizza with meat other than pepperoni, from restaurant or fast food, medium crust']","[75.44, 30.81, 42.26]","[0.15, 12.27, 17.04]","[297.6, 258.26, 386.4]","[0.37, 6.17, 15.87]",USA,metric,"For lunch, I drank a 744-gram fruit-flavored soft drink, ate 74 grams of garlic bread, and enjoyed a 138-gram medium crust pizza with meat toppings."
['Rum and cola'],[17.55],[0.43],[200.25],[0],USA,metric,I have 225 grams of rum and cola for my snack.
"['Coffee, instant, reconstituted', 'Roll, sweet, cinnamon bun, frosted']","[1.51, 26.24]","[0, 14.37]","[7.2, 244.08]","[0.24, 2.4]",USA,metric,"I'm having 240 grams of instant coffee and a sweet, frosted cinnamon bun that weighs 54 grams for breakfast."
"['Yogurt, Greek, low fat milk, fruit', 'Egg, whole, boiled or poached']","[7.01, 0.36]","[1.46, 4.76]","[59.85, 71.5]","[4.66, 6.28]",USA,metric,"For a snack, I'm having 57 grams of low-fat Greek yogurt with fruit and a 50-gram boiled egg."
"['Turnover, meat- and cheese-filled, no gravy', 'Potato sticks, flavored']","[43.38, 30.08]","[12.98, 19.41]","[342.22, 294.69]","[13.01, 3.78]",USA,metric,"I’m eating a 142-gram turnover filled with meat and cheese for dinner, along with 57 grams of flavored potato sticks."
"['Potato chips, lightly salted', 'Almonds, salted']","[14.96, 28.45]","[9.89, 75.34]","[156.52, 847.41]","[1.88, 28.38]",USA,metric,"I’m enjoying some lightly salted potato chips, about 28 grams, along with 141 grams of salted almonds as a snack."
"['Egg, cheese and bacon on bagel']",[52.67],[31.27],[632.22],[33.58],USA,metric,"For breakfast, I'm having a bagel with egg, cheese, and bacon that weighs 246 grams."
['Whiskey'],[0],[0],[145.53],[0],USA,metric,I'll be sipping on 63 grams of whiskey during dinner.
"['Rice, brown, cooked, fat added, made with oil']",[48.73],[6.41],[274.4],[5.21],USA,metric,I ate 196 grams of brown rice cooked with oil for lunch.
"['Polish sausage', 'Mimosa', 'Honey mustard dip']","[11.42, 12.85, 3.79]","[67.37, 0.11, 2.68]","[764.99, 117, 40.05]","[28.26, 0.68, 0.26]",USA,metric,"I'm having Polish sausage for dinner, about 227 grams, with a 180-gram mimosa and a small serving of honey mustard dip, which is 15 grams."
"['Muffin, chocolate', 'Apple juice, 100%']","[65.82, 14.01]","[24.05, 0.16]","[508.3, 57.04]","[8.31, 0.12]",USA,metric,"For breakfast, I'm having a 130g chocolate muffin and 124g of 100% apple juice."
"['Peaches, baby food, strained', 'Beans, green string, baby food, strained']","[10.28, 4.47]","[0.23, 0.12]","[46.15, 19.17]","[0.67, 0.85]",USA,metric,"For my dinner, I’ve got 71 grams of baby food peaches and 71 grams of baby food green beans."
['Energy Drink'],[25.37],[0],[106.64],[1.14],USA,metric,"I grabbed an energy drink for my snack, and it’s 248 grams."
"['Popsicle', 'Bread, Italian, Grecian, Armenian']","[9.62, 14.91]","[0.12, 0.85]","[39.5, 80.29]","[0, 2.94]",USA,metric,"For a snack, I'm having a 50g Popsicle and 31g of Italian bread."
"['Ice cream cone, soft serve, vanilla']",[39.3],[6.14],[236.25],[6.14],USA,metric,I’m enjoying a 125-gram ice cream cone with soft serve vanilla for dinner.
"['Truffles', 'Honeydew melon, raw', 'Strawberries, raw']","[6.45, 11.36, 1.38]","[4.15, 0.18, 0.05]","[66.43, 45, 5.76]","[0.88, 0.68, 0.12]",USA,metric,"I’ve got a snack that includes 13 grams of truffles, along with 125 grams of honeydew melon and 18 grams of strawberries."
['Burrito with meat'],[39.02],[39.1],[653.4],[35.15],USA,metric,"For breakfast, I have a burrito with meat that weighs 270 grams."
"['Chicken, NS as to part, fried, coated, skin / coating eaten']",[6.07],[12.77],[213.35],[18.49],USA,metric,"For lunch, I’ve got 85 grams of fried chicken that’s been coated and fried."
"['Turnover, meat- and cheese-filled, no gravy', ""Cereal (Kellogg's Froot Loops)"", 'Milk, low fat (1%)']","[43.38, 25.52, 12.66]","[12.98, 0.99, 2.32]","[342.22, 108.75, 104.92]","[13.01, 1.54, 8.25]",USA,metric,"Dinner consists of a 142-gram meat and cheese turnover, 29 grams of Froot Loops cereal, and 244 grams of low-fat milk."
"['Tea, hot, herbal', 'Sugar substitute, stevia, powder', 'Tea, hot, leaf, green']","[0.96, 3, 0]","[0, 0, 0]","[4.8, 0, 4.8]","[0, 0, 1.06]",USA,metric,"For my snack, I brewed 480 grams of hot herbal tea, added 3 grams of stevia, and made 480 grams of hot green tea."
['Sausage on biscuit'],[35.09],[28.57],[434.07],[11.31],USA,metric,"This morning, I’m having a 117-gram biscuit with sausage."
"['Soft drink, fruit flavored, caffeine containing', 'Soft taco with meat']","[47.73, 26.7]","[0, 14.16]","[182.28, 290.82]","[0, 14]",USA,metric,"For dinner, I have a soft taco weighing 131 grams and a 372-gram fruit-flavored soft drink."
"['Vienna sausage, canned']",[2.94],[21.92],[259.9],[11.86],USA,metric,I’ve got a can of Vienna sausages weighing 113 grams for breakfast.
"['Chicken and vegetable entree with noodles, diet frozen meal']",[32.3],[6.26],[279.72],[25.37],USA,metric,"Dinner tonight is a diet frozen meal of chicken and veggies with noodles, which is 333 grams."
['Breakfast pizza with egg'],[54.27],[30.61],[616.92],[29.79],USA,metric,"This morning, I'm eating a 212-gram breakfast pizza topped with egg."
"['Grilled cheese sandwich, American cheese, on wheat bread']",[31.02],[22.53],[379.32],[13.68],USA,metric,"I’ve got a grilled cheese sandwich with American cheese on wheat bread for lunch today, and it’s 116 grams."
"['Sweet potatoes, baby food, strained']",[9.37],[0.07],[40.47],[0.78],USA,metric,I'm eating 71 grams of sweet potato baby food for lunch.
"['Chicken leg, drumstick and thigh, grilled with sauce, skin eaten']",[14.2],[24.02],[427.05],[36.35],USA,metric,"I had a 195-gram serving of grilled chicken leg, drumstick, and thigh with sauce for lunch, and I made sure to eat the skin."
"['Soft drink, cola', 'Soup, mostly noodles']","[38.54, 33.93]","[0.93, 9.92]","[156.24, 247.9]","[0, 5.74]",USA,metric,"For breakfast, I'm having a 372-gram cola soft drink along with a 370-gram bowl of noodle soup."
"['Squash and corn, baby food, strained']",[10.46],[0.68],[56.5],[2.26],USA,metric,I’ll be having 113 grams of strained baby food with squash and corn for dinner.
"['Biscuit, NFS', 'Pork sausage', 'Egg, whole, fried, from fast food / restaurant']","[19.27, 0.5, 0.37]","[8.51, 9.54, 8.46]","[166.5, 113.75, 105.05]","[3.19, 6.49, 6.44]",USA,metric,"I have a lunch of a biscuit weighing 45 grams, along with 35 grams of pork sausage and a fried egg that weighs 55 grams."
"['Popcorn, ready-to-eat packaged, butter flavored']",[14.95],[9.11],[148.4],[2.49],USA,metric,"For a little snack, I'm having 28 grams of ready-to-eat popcorn with butter flavor."
"['Turnover, meat- and cheese-filled, no gravy', 'Soft drink, cola, diet']","[43.38, 1.74]","[12.98, 0.18]","[342.22, 12]","[13.01, 0.66]",USA,metric,"For lunch, I went for a meat- and cheese-filled turnover that’s 142 grams, along with a diet cola that weighs 600 grams."
"['Peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread']",[48.45],[13.06],[358.4],[13.94],USA,metric,"For dinner, I'm having a peanut butter and jelly sandwich made with reduced fat peanut butter and reduced sugar jelly on white bread, weighing 112 grams."
"['Soup, mostly noodles', 'Gordita/sope shell, plain, no filling']","[33.93, 17.23]","[9.92, 7.61]","[247.9, 142.41]","[5.74, 1.96]",USA,metric,"For lunch, I'm having 370 grams of mostly noodle soup along with a 47-gram plain gordita shell."
"['Soft drink, cola', 'Potato chips, plain']","[64.23, 15.07]","[1.55, 9.51]","[260.4, 148.96]","[0, 1.79]",USA,metric,I have a snack of 620 grams of cola paired with 28 grams of potato chips.
"['Roll, white, hot dog bun', 'Ketchup']","[22.55, 4.66]","[1.76, 0.02]","[125.55, 17.17]","[4.4, 0.18]",USA,metric,"For dinner, I’m eating a 45-gram white hot dog bun and adding 17 grams of ketchup."
"['Breakfast tart', 'Milk, whole', 'Pudding, chocolate, ready-to-eat']","[38.79, 11.39, 25.31]","[4.87, 7.81, 5.06]","[207.9, 146.4, 156.2]","[2.17, 8, 2.3]",USA,metric,"For my snack, I’m having a 54g Breakfast Tart paired with 244g of whole milk and 110g of ready-to-eat chocolate pudding."
['Salmon cake sandwich'],[65.23],[47.88],[914.4],[52.38],USA,metric,"I'm eating a salmon cake sandwich for lunch, and it weighs 360 grams."
"['Potato, french fries, fast food', 'Cheeseburger (Burger King)']","[29.01, 26.26]","[10.31, 13]","[218.4, 287.1]","[2.4, 15.33]",USA,metric,Lunch today includes 70 grams of french fries and a cheeseburger that weighs 110 grams.
"['Breakfast tart', 'Yogurt, low fat milk, fruit', 'Orange juice, 100%, with calcium added, canned, bottled or in a carton']","[77.58, 9.25, 27.95]","[9.74, 0.88, 0.3]","[415.8, 56.96, 116.56]","[4.33, 2.98, 1.69]",USA,metric,"For breakfast, I have a 108-gram Breakfast Tart, 64 grams of low-fat yogurt with fruit, and 248 grams of orange juice with calcium."
"['Egg, cheese, and bacon griddle cake sandwich', 'Chocolate milk, NFS']","[44, 33.38]","[22.16, 0]","[456.96, 166.16]","[20.21, 8.41]",USA,metric,"For breakfast, I'm having a 168.0g griddle cake sandwich with egg, cheese, and bacon, along with some 248.0g chocolate milk."
"['Soft drink, cola', 'Taco sauce', 'Taco or tostada with meat, from fast food', 'Soft taco with beans']","[38.54, 0.12, 15.48, 36.05]","[0.93, 0.11, 9.91, 8.65]","[156.24, 1.76, 176.28, 263.64]","[0, 0.19, 6.91, 10.63]",USA,metric,"I'm enjoying a dinner that includes a 372g cola, 78g taco with meat, and a 169g soft taco with beans, plus 16g of taco sauce."
"['Potato chips, plain', 'Apple, raw']","[15.07, 27.62]","[9.51, 0.34]","[148.96, 104]","[1.79, 0.52]",USA,metric,I’m snacking on 28 grams of plain potato chips alongside a 200-gram raw apple.
"['Coffee, Cafe Mocha']",[38.06],[5.47],[238.08],[9.52],USA,metric,"For breakfast, I’m enjoying a 372g cup of Cafe Mocha."
"['Coffee, bottled/canned', 'Cheese, Mozzarella, part skim', 'Burrito with meat']","[42.97, 1.26, 39.02]","[4.71, 5.78, 39.1]","[242.11, 84.48, 653.4]","[6.75, 6.72, 35.15]",USA,metric,"I had a 341g bottle of coffee for breakfast, paired with 28.35g of mozzarella cheese and a 270g burrito loaded with meat."
"['Pancake syrup', 'Pancakes, plain', 'Coffee, Cafe Mocha, with non-dairy milk']","[13.92, 52.96, 51.09]","[0.02, 17.88, 4.66]","[53, 418.5, 267.84]","[0, 11.14, 5.65]",USA,metric,"This morning, I'm enjoying 150 grams of plain pancakes with a bit of syrup (20 grams) and a 496-gram serving of Cafe Mocha with non-dairy milk."
"['Beef steak, fried, lean and fat eaten', 'Flavored rice and pasta mixture', 'Soft drink, cola']","[0, 37.46, 64.23]","[18.01, 6.84, 1.55]","[314.9, 231.28, 260.4]","[36.26, 5.25, 0]",USA,metric,"For dinner, I had 134 grams of fried beef steak, 196 grams of a flavored rice and pasta mixture, and a 620-gram soft drink of cola."
"['Frozen coffee drink', 'Hamburger (McDonalds)']","[49.89, 29.57]","[3.46, 10.18]","[245.52, 263]","[5.77, 13.3]",USA,metric,"For my dinner, I've got a 372g frozen coffee drink and a 100g McDonald's hamburger."
"['Fruit leather and fruit snacks candy', 'Carrots, raw', 'Grapes, raw', 'Banana, raw', 'Cereal or granola bar (Quaker Chewy Granola Bar)']","[21.92, 11.5, 27.15, 28.78, 16.85]","[0.74, 0.29, 0.24, 0.42, 3.98]","[94.9, 49.2, 103.5, 112.14, 100.32]","[0.14, 1.12, 1.08, 1.37, 1.36]",USA,metric,"For a snack, I had 26 grams of fruit leather, along with 120 grams of raw carrots, 150 grams of raw grapes, a raw banana weighing 126 grams, and a 24-gram Quaker Chewy Granola Bar."
"['Croissant sandwich with ham, egg, and cheese', 'Jelly, all flavors']","[29.42, 9.79]","[23.17, 0]","[404.55, 37.24]","[19.3, 0.02]",USA,metric,"I have a 155-gram croissant sandwich filled with ham, egg, and cheese, plus 14 grams of jelly for breakfast."
"['Soft drink, cola, diet', 'Beef taco filling: beef, cheese, tomato, taco sauce']","[1.04, 12.91]","[0.11, 23.09]","[7.2, 369.24]","[0.4, 26.5]",USA,metric,"For dinner, I'm having 360 grams of diet cola and 204 grams of beef taco filling with cheese, tomato, and taco sauce."
"['Caramel, chocolate-flavored roll', 'Pie, cherry, individual size or tart']","[30.71, 47.76]","[1.16, 13.2]","[135.45, 312]","[0.56, 2.4]",USA,metric,"For my snack, I have a 35-gram roll flavored with chocolate caramel and an individual 120-gram cherry pie."
"['Nutrition bar or meal replacement bar, NFS', 'Orange, raw', 'Sugar substitute, stevia, powder', 'Grapefruit, raw']","[15.3, 18.1, 1, 16.42]","[4.76, 0.18, 0, 0.22]","[144.84, 72.38, 0, 64.68]","[10.2, 1.45, 0, 1.19]",USA,metric,"For a snack, I had a 34g nutrition bar, a raw orange weighing 154g, and a raw grapefruit also weighing 154g, sweetened with a gram of stevia powder."
"['Soft drink, fruit flavored, caffeine containing', 'Soft drink, pepper type']","[47.73, 38.54]","[0, 0.93]","[182.28, 156.24]","[0, 0]",USA,metric,I started my morning with 372 grams of a fruit-flavored caffeinated soft drink and 372 grams of a pepper-flavored soft drink.
"['Burrito with beans, meatless', 'Milk, fat free (skim)']","[32.47, 11.93]","[15.01, 0.2]","[326.4, 82.96]","[15.67, 8.37]",USA,metric,I just made myself a meatless burrito weighing 170g and I'm drinking 244g of skim milk for dinner.
"['Salisbury steak with gravy, potatoes, vegetable, dessert, frozen meal']",[66.32],[36.08],[804.96],[52.7],USA,metric,"Dinner is a frozen meal consisting of Salisbury steak with gravy, potatoes, a vegetable side, and dessert, totaling 468 grams."
"['Vegetable and turkey, baby food, strained']",[8.61],[1.02],[54.24],[2.62],USA,metric,"I have a serving of vegetable and turkey baby food for dinner, weighing 113 grams."
"['Pastry, meat / poultry-filled', 'Milk, reduced fat (2%)', 'Apple juice, 100%']","[26.04, 11.98, 14.01]","[16.03, 4.64, 0.16]","[287.3, 122, 57.04]","[9.58, 8.17, 0.12]",USA,metric,"This morning's breakfast included an 85-gram meat-filled pastry, 244 grams of reduced fat milk, and 124 grams of apple juice."
"['Chicken drumstick, fried, coated, skin / coating not eaten, from raw']",[0],[3.77],[84.5],[11.8],USA,metric,"For dinner, I'm having a fried chicken drumstick that weighs 50 grams, with the skin and coating not eaten."
"['Enchilada with chicken, red-chile or enchilada sauce', 'Beer, light']","[13.01, 5.9]","[7.27, 0]","[153.75, 104.4]","[10.33, 0.86]",USA,metric,"For dinner, I'm having a 123.0g chicken enchilada with red-chile sauce and a 360.0g light beer."
"['Milk, reduced fat (2%)', 'Bread, cinnamon, toasted']","[11.98, 21.09]","[4.64, 1.54]","[122, 115.83]","[8.17, 4.04]",USA,metric,"For breakfast, I'm having 244 grams of reduced fat (2%) milk and 39 grams of toasted cinnamon bread."
"['Soft drink, fruit flavored, caffeine free', 'Pizza with pepperoni, from restaurant or fast food, thick crust']","[62.87, 69.09]","[0.12, 27.3]","[248, 622.79]","[0.31, 24.93]",USA,metric,"For lunch today, I'm having a 620-gram soft drink that's fruit-flavored and a 217-gram pepperoni pizza with thick crust."
"['Cheese, Mozzarella, part skim', 'Apple, raw']","[1.26, 33.42]","[5.78, 0.41]","[84.48, 125.84]","[6.72, 0.63]",USA,metric,"For a snack, I'm having 28.35 grams of part-skim mozzarella cheese and a raw apple weighing 242 grams."
